title,price,discprice
IL-2 Sturmovik: Battle of Bodenplatte,39.99,13.59
Castle Crashers®,9.99,1.99
STAR WARS™: The Force Unleashed™ II,15.49,5.42
The Legend of Heroes: Trails of Cold Steel III,49.99,29.99
Titanfall Collection,42.98,10.18
EARTH DEFENSE FORCE 5,46.49,23.24
The Escapists 2 - Game of the Year Edition,31.15,7.81
Warhammer: Vermintide 2 - Back to Ubersreik,6.99,3.49
SpellForce Franchise,183.38,43.90
Warhammer: Vermintide 2 - Shadows Over Bögenhafen,6.99,3.49
A Way Out,24.99,7.49
Brick Rigs,10.99,7.69
GROUND BRANCH,15.49,15.49
People Playground,7.19,0.71
Just Cause™ 4: Expansion Pass,22.99,7.58
SEGA Mega Drive and Genesis Classics,65.02,5.98
Dragon's Dogma: Dark Arisen,23.99,7.19
Rome: Total War™ Collection,8.99,8.99
DRIFT21,22.49,22.49
BPM: BULLETS PER MINUTE,15.49,10.37
Mindustry,4.79,4.07
The Elder Scrolls Online - Greymoor,32.99,10.88
港詭實錄ParanormalHK,10.29,7.20
Max Payne 3,14.99,5.24
Vampyr,34.99,8.74
Little Nightmares,15.99,3.19
Warhammer: Vermintide 2 - Grail Knight Career,2.99,2.24
BattleBlock Theater®,10.99,2.19
METAL GEAR SOLID V: THE PHANTOM PAIN,24.99,6.24
Prey,19.99,5.99
Curse of the Dead Gods,15.99,10.71
Ruinarch,15.49,13.94
Killing Floor 2,19.99,6.59
Dead by Daylight - Curtain Call Chapter,5.19,2.59
Volcanoids,15.49,12.39
The Binding of Isaac: Afterbirth,7.99,5.75
"Warhammer 40,000: Space Marine Collection",39.99,9.99
ATLAS,23.79,3.56
Sunset Overdrive,14.99,3.74
Crysis Trilogy,97.95,12.08
Dishonored: Death of the Outsider - Deluxe Bundle,39.99,11.99
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,29.99,23.99
Medal of Honor™: Above and Beyond,44.99,44.99
Need for Speed™ Payback,24.99,6.24
Disgaea 5 Complete,29.99,11.99
The Evil Within 2,24.99,6.24
Okami HD,15.99,7.99
Lethal League Blaze,17.99,12.59
Total War: THREE KINGDOMS - Yellow Turban Rebellion,6.99,4.68
Foxhole,14.99,8.99
Ys VIII: Lacrimosa of DANA,34.99,20.99
Between the Stars,23.79,15.70
Sonic and All-Stars Racing Transformed Collection,14.99,3.74
Worms Collection,158.58,28.44
AUDICA: Rhythm Shooter,24.50,14.70
The Crew™,25.99,12.99
Wreckfest - Season Pass 1,12.99,8.57
Katana ZERO,11.39,6.83
Bendy and the Ink Machine,15.49,3.09
A Hat in Time - Ultimate Edition,43.15,17.01
Tower Unite,15.49,10.84
The Legend of Heroes: Trails of Cold Steel,29.99,17.99
NARUTO TO BORUTO: SHINOBI STRIKER,39.99,6.39
Counter-Strike: Source,7.19,1.43
Heroes of Hammerwatch,9.29,3.71
Depth,14.99,4.49
Crysis® 3,24.99,8.24
Call of Duty®: Black Ops,29.99,29.99
BATTLETECH Season Pass Bundle,46.47,19.26
Devil May Cry HD Collection,24.99,16.49
Starship EVO,15.49,13.16
Wolfenstein: The New Order,14.99,5.99
Hunt: Showdown Legendary Edition,44.98,22.26
Trover Saves the Universe,23.79,14.27
WRC 8 FIA World Rally Championship Deluxe Edition,50.04,25.76
Total War: WARHAMMER II - Blood for the Blood God II,2.49,2.49
Total War: WARHAMMER - Blood for the Blood God,2.49,2.49
Clustertruck,10.99,3.62
Funselektor Bundle,28.48,14.76
Dead by Daylight - Descend Beyond chapter,5.19,3.63
Train Simulator 2021,24.99,14.99
Prey Digital Deluxe,29.99,8.99
The Wonder of VR Collection,69.76,27.26
Dead by Daylight - Spark of Madness Chapter,4.99,2.49
Halo 3,6.99,4.19
Dead Cells,21.99,13.19
Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,45.97,21.41
Last Epoch,27.79,27.79
DESOLATE,19.99,7.99
Dead Space,17.99,4.49
Call of Duty®: Ghosts,39.99,39.99
Tyranny -  Gold Edition,56.55,14.94
Trine 4: The Nightmare Prince,24.99,6.24
The Long Drive,9.29,6.96
Mad Max,15.99,3.99
Spec Ops: The Line,19.99,3.99
Halo Wars: Definitive Edition,15.99,6.39
